BKL380_KIJ380,VHZ380_BWK380a,VHZ380_BWK380b,KIJ380_OZN380,KIJ380_GT380a,KIJ380_GT380b
-83.5,92.8,92.8,-55.8,178.4,178.4
-7.0,191.3,191.3,-111.9,170.4,170.4
-116.6,174.3,174.3,-85.2,411.7,411.7
13.2,252.6,252.6,-118.3,210.2,210.2
255.1,458.6,458.6,-296.6,602.9,602.9
84.3,385.2,385.2,-225.9,727.0,727.0
83.4,393.7,393.7,-219.8,568.8,568.8
-186.5,233.7,233.7,-89.6,671.9,671.9
-132.4,224.0,224.0,-93.4,514.5,514.5
-23.2,234.1,234.1,-128.0,488.7,488.7
-114.1,166.0,166.0,-68.0,425.5,425.5
-230.7,-40.0,-40.0,20.6,737.4,737.4
-183.0,-40.1,-40.1,27.3,115.0,115.0
92.7,90.8,90.8,-107.0,4.2,4.2
126.4,93.3,93.3,-121.7,11.1,11.1
10.7,29.4,29.4,-59.7,-171.2,-171.2
64.1,39.5,39.5,-80.3,-131.4,-131.4
20.2,0.6,0.6,-47.3,-250.5,-250.5
-11.1,-24.3,-24.3,-25.6,-316.4,-316.4
-124.8,-78.5,-78.5,38.2,-526.6,-526.6
-243.6,-144.4,-144.4,90.8,-402.7,-402.7
-305.3,-186.3,-186.3,120.1,-334.8,-334.8
-22.3,-5.7,-5.7,-4.0,-759.6,-759.6
-28.6,-7.9,-7.9,-1.3,-758.9,-758.9
-106.2,-67.2,-67.2,22.2,-346.6,-346.6
-50.0,-29.3,-29.3,-15.7,-159.7,-159.7
27.3,52.9,52.9,-61.3,-234.0,-234.0
-135.9,-9.6,-9.6,2.2,-92.9,-92.9
-131.6,-35.0,-35.0,18.3,-272.4,-272.4
-57.3,4.6,4.6,-16.0,-164.3,-164.3
-18.8,37.9,37.9,-34.1,-84.7,-84.7
93.2,100.7,100.7,-95.4,67.0,67.0
60.2,111.5,111.5,-84.0,10.4,10.4
61.8,137.9,137.9,-100.5,112.1,112.1
-218.7,-17.3,-17.3,22.8,336.4,336.4
-250.9,-84.9,-84.9,51.1,367.4,367.4
-312.0,-108.8,-108.8,80.3,184.7,184.7
-289.3,-66.4,-66.4,50.1,197.4,197.4
-287.9,-33.3,-33.3,41.1,132.2,132.2
-278.3,-5.8,-5.8,24.8,199.7,199.7
-284.6,13.0,13.0,8.0,436.3,436.3
-241.4,45.4,45.4,-12.6,548.4,548.4
-304.8,54.7,54.7,5.1,489.8,489.8
-212.2,127.1,127.1,-45.3,449.9,449.9
-225.5,100.9,100.9,-34.6,502.5,502.5
-294.3,40.3,40.3,14.3,322.8,322.8
-177.0,123.3,123.3,-43.2,206.5,206.5
-266.1,81.8,81.8,-19.7,549.5,549.5
33.1,313.3,313.3,-168.6,183.0,183.0
-102.9,242.2,242.2,-102.4,171.8,171.8
-49.2,269.2,269.2,-134.5,342.5,342.5
-13.0,292.3,292.3,-158.2,452.8,452.8
17.9,313.0,313.0,-159.2,506.6,506.6
-98.9,277.8,277.8,-109.1,471.4,471.4
-194.3,247.7,247.7,-79.9,671.1,671.1
17.6,408.4,408.4,-195.8,634.0,634.0
-77.4,376.3,376.3,-154.7,615.0,615.0
-74.1,377.1,377.1,-155.7,608.5,608.5
-111.0,356.3,356.3,-135.3,551.0,551.0
-265.7,249.0,249.0,-61.5,700.7,700.7
-110.1,312.4,312.4,-127.0,607.6,607.6
6.1,356.3,356.3,-175.6,550.9,550.9
30.7,368.5,368.5,-179.9,384.7,384.7
7.2,357.3,357.3,-169.0,387.8,387.8
163.1,446.4,446.4,-245.6,399.2,399.2
41.1,384.2,384.2,-192.9,511.4,511.4
43.2,379.2,379.2,-199.9,680.8,680.8
102.0,421.3,421.3,-227.4,607.5,607.5
-143.5,291.3,291.3,-113.8,689.1,689.1
56.3,367.3,367.3,-189.4,496.2,496.2
260.2,422.8,422.8,-262.3,398.8,398.8
293.6,479.5,479.5,-301.6,561.6,561.6
333.6,514.0,514.0,-332.2,703.8,703.8
234.1,491.8,491.8,-294.8,702.5,702.5
92.9,433.0,433.0,-225.4,564.9,564.9
-78.7,331.1,331.1,-151.9,821.0,821.0
-1.7,426.7,426.7,-214.5,855.5,855.5
-47.5,413.3,413.3,-197.2,896.5,896.5
-96.6,395.6,395.6,-175.5,890.8,890.8
-107.7,391.4,391.4,-170.5,887.1,887.1
