MVL380_gen,MVL380_exp,SMH380_gen,MVL380_wind,BWK380_load,CST380_load,KIJ380_load,MVL380_load,WL380W_load,WL380Z_load,WTR380_load,SMH380_load
-2141.4,1000.0,0.0,-615.7000000000003,277.20000000000005,604.5,-302.70000000000005,382.0,144.6,74.1,323.1,200.4
-1552.4999999999998,1000.0,0.0,-502.0000000000001,270.0,589.2,-315.6,372.4,141.0,72.2,315.0,195.3
-1122.9,1000.0,0.0,-554.9,246.29999999999998,537.5999999999999,-358.5,339.6,128.6,65.8,287.4,178.2
-1122.9,631.1,0.0,-591.3000000000001,238.5,520.5,-372.6,329.0,124.4,63.8,278.1,172.5
-1123.1000000000001,500.0,0.0,-582.8999999999999,234.0,510.29999999999995,-378.9,322.4,122.0,62.5,272.70000000000005,169.1
-1060.3,965.4,0.0,-565.5,210.89999999999998,459.90000000000003,-116.10000000000001,290.6,110.0,56.3,245.70000000000002,152.4
-1060.3,1000.0,0.0,-537.6,192.0,418.79999999999995,-150.3,264.6,100.2,51.3,223.79999999999998,138.8
-1060.3,1000.0,0.0,-523.0,181.8,396.90000000000003,-168.3,250.8,95.0,48.6,212.10000000000002,131.5
-1060.3,927.5,0.0,-506.10000000000014,175.5,382.79999999999995,-180.0,241.8,91.6,46.9,204.60000000000002,126.8
-1060.3,568.1,0.0,-444.3000000000002,174.60000000000002,380.70000000000005,-181.8,240.6,91.0,46.6,203.39999999999998,126.2
-1060.3,307.5,0.0,-374.1,181.2,395.40000000000003,-169.5,249.8,94.6,48.4,211.20000000000002,131.0
-1060.3,0.0,0.0,-315.4,195.60000000000002,426.90000000000003,-143.39999999999998,269.6,102.0,52.3,228.0,141.5
-1060.3,0.0,0.0,-276.30000000000007,219.89999999999998,479.40000000000003,-99.60000000000001,303.0,114.6,58.7,256.20000000000005,158.9
-1060.3,-1000.0,0.0,-198.79999999999995,236.70000000000002,516.0,-376.20000000000005,326.2,123.4,63.2,275.70000000000005,171.0
-1282.3,-500.0,0.0,-155.5000000000001,268.20000000000005,585.0,-319.20000000000005,369.6,139.8,71.6,312.6,193.8
-2078.8,1000.0,0.0,-174.0000000000001,282.9,617.4000000000001,-292.20000000000005,390.2,147.6,75.6,330.0,204.6
-2078.8,1000.0,0.0,-199.6000000000002,284.70000000000005,620.7,-289.5,392.2,148.4,76.0,331.79999999999995,205.7
-2078.8,1000.0,0.0,-216.7000000000001,282.9,617.4000000000001,-292.20000000000005,390.0,147.6,75.6,330.0,204.6
-2014.1999999999998,1000.0,0.0,-241.4000000000002,279.0,608.7,-299.4,384.6,145.6,74.6,325.20000000000005,201.7
-2016.3,1000.0,0.0,-275.00000000000017,273.9,597.5999999999999,-308.70000000000005,377.6,143.0,73.2,319.20000000000005,198.0
-1821.8999999999999,1000.0,0.0,-345.1000000000002,266.4,581.0999999999999,-322.20000000000005,367.2,139.0,71.2,310.5,192.6
-2076.2,1000.0,0.0,-402.4000000000001,275.70000000000005,601.2,-305.70000000000005,380.0,143.8,73.6,321.29999999999995,199.3
-1939.3999999999999,1000.0,0.0,-479.0000000000002,293.1,639.3,-273.9,404.0,152.8,78.3,341.70000000000005,211.9
-1649.5,1000.0,0.0,-578.7000000000002,281.4,613.8,-295.20000000000005,387.8,146.8,75.2,327.9,203.4
-2011.6999999999998,1000.0,0.0,-594.7,270.6,590.4000000000001,-314.70000000000005,373.0,141.2,72.3,315.29999999999995,195.6
-2078.8,1000.0,0.0,-593.7000000000002,257.70000000000005,562.5,-337.79999999999995,355.4,134.6,68.9,300.6,186.4
-1060.3,1000.0,0.0,-496.9000000000001,241.5,527.0999999999999,-367.20000000000005,333.0,126.0,64.5,281.70000000000005,174.7
-1060.3,1000.0,0.0,-444.6,229.79999999999998,501.29999999999995,-388.79999999999995,316.6,119.8,61.4,267.9,166.1
-1060.3,283.0,0.0,-441.9,229.20000000000002,499.79999999999995,-390.0,315.8,119.6,61.2,267.0,165.6
-1122.9,1000.0,0.0,-506.69999999999993,203.39999999999998,444.0,-129.3,280.6,106.2,54.4,237.29999999999998,147.1
-1122.9,1000.0,0.0,-519.8,182.7,398.40000000000003,-167.10000000000002,251.6,95.2,48.8,213.0,132.0
-1122.9,1000.0,0.0,-529.2,168.3,367.20000000000005,-192.89999999999998,232.0,87.8,45.0,196.20000000000002,121.7
-1122.9,1000.0,0.0,-562.5,157.2,342.9,-213.0,216.8,82.0,42.0,183.3,113.7
-1122.9,1000.0,0.0,-576.9000000000001,151.2,329.70000000000005,-224.10000000000002,208.2,78.8,40.4,176.10000000000002,109.2
